code,target,interest,maturity,payment,status,id,income,age,scaleofcompany,education,marriage,workingtime,estate,houseloan,car,carloan,creditscore,application,pastsuccess,pastdefault,creditcertificate,creditreport,identitycertificate,jobcertificate,incomecertificate,estatecertificate,carcertificate,marriagecertificate,educertificate,techcertificate,mobilecertificate,weibocertificate
2007,50000 ,0.15 ,24,2420 ,1,743206,2000-5000,26,10-100,junior college,single,3-5 years,1,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,5000 ,0.10 ,3,1695 ,1,570735,5000-10000,27,10-100,master,single,below 1 year,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,5000 ,0.15 ,12,451 ,1,753399,--,30,--,junior college,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,120000 ,0.15 ,24,5808 ,1,747675,10000-20000,29,above500,undergraduate,married,above 5 years,1,1,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,50000 ,0.15 ,24,2420 ,1,744914,2000-5000,23,less10,highschool,married,below 1 year,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,8000 ,0.11 ,6,1376 ,1,753390,5000-10000,32,less10,highschool,married,1-3 years,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,22000 ,0.18 ,24,1100 ,1,753237,2000-5000,24,10-100,junior college,single,below 1 year,0,0,0,0,20,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,150000 ,0.15 ,24,7260 ,1,740555,2000-5000,37,10-100,junior college,divorced,above 5 years,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,5000 ,0.11 ,6,860 ,1,751882,--,25,--,highschool,single,--,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,500000 ,0.15 ,24,24200 ,1,753411,5000-10000,32,less10,junior college,married,1-3 years,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,150000 ,0.15 ,24,7260 ,1,733409,20000-50000,32,10-100,junior college,single,1-3 years,1,1,0,0,20,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2018,100000 ,0.15 ,24,4840 ,1,753409,2000-5000,23,100-500,junior college,single,1-3 years,1,0,0,0,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,20000 ,0.15 ,12,1804 ,1,753422,5000-10000,25,10-100,junior college,married,1-3 years,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,30000 ,0.15 ,24,1452 ,1,666934,2000-5000,40,10-100,junior college,married,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,30000 ,0.15 ,12,2706 ,1,749508,10000-20000,31,10-100,junior college,divorced,3-5 years,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,50000 ,0.15 ,24,2420 ,1,753424,--,22,--,highschool,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,20000 ,0.15 ,18,1248 ,1,5719,5000-10000,44,10-100,undergraduate,married,above 5 years,1,1,0,0,123,8,4,0,0,1,1,1,1,0,0,0,0,0,0,0
